序号,行,位,汉字,小篆字形数,正篆数,异体数,字形类型,说文著录,全部caption,汉典空条目,产品库内,产品库书体,汉典页,SVG直链
1,1,1,憙,1,1,0,正篆,卷.部首.頁：5上.喜.101,憙說文‧喜部,,是,glyphwiki,https://www.zdic.net/hans/憙/xiaozhuan,https://img.zdic.net/zy/xiaozhuan/27_EC66.svg
2,1,2,杕,1,1,0,正篆,卷.部首.頁：6上.木.119,杕說文‧木部,,是,bronze/glyphwiki/oracle-bone,https://www.zdic.net/hans/杕/xiaozhuan,https://img.zdic.net/zy/xiaozhuan/27_6755.svg
3,1,3,楯,1,1,0,正篆,卷.部首.頁：6上.木.121,楯說文‧木部,,是,glyphwiki,https://www.zdic.net/hans/楯/xiaozhuan,https://img.zdic.net/zy/xiaozhuan/27_696F.svg
4,1,4,犇,1,1,0,正篆,卷.部首.頁：10下.夭.214,犇說文‧夭部,,是,glyphwiki,https://www.zdic.net/hans/犇/xiaozhuan,https://img.zdic.net/zy/xiaozhuan/27_5954.svg
5,1,5,珷,1,1,0,正篆,卷.部首.頁：12下.戈.266,珷說文‧戈部,,是,glyphwiki,https://www.zdic.net/hans/珷/xiaozhuan,https://img.zdic.net/zy/xiaozhuan/27_6B66.svg
6,1,6,逴,1,1,0,正篆,卷.部首.頁：2下.辵.42,逴說文‧辵部,,是,glyphwiki,https://www.zdic.net/hans/逴/xiaozhuan,https://img.zdic.net/zy/xiaozhuan/27_9034.svg
7,1,7,临,1,1,0,正篆,卷.部首.頁：8上.臥.170,临說文‧臥部,,是,bronze/glyphwiki,https://www.zdic.net/hans/临/xiaozhuan,https://img.zdic.net/zy/xiaozhuan/27_81E8.svg
8,1,8,为,2,1,1,古文+正篆,卷.部首.頁：3下.爪.63,为說文‧爪部 | 为說文古文,,是,bronze/glyphwiki/oracle-bone,https://www.zdic.net/hans/为/xiaozhuan,https://img.zdic.net/zy/xiaozhuan/27_70BA.svg;https://img.zdic.net/zy/xiaozhuan/27_F286.svg
9,1,9,乞,1,1,0,正篆,卷.部首.頁：1上.气.14,乞說文‧气部,,是,bronze/glyphwiki/oracle-bone,https://www.zdic.net/hans/乞/xiaozhuan,https://img.zdic.net/zy/xiaozhuan/27_6C14.svg
10,1,10,亓,1,1,0,正篆,卷.部首.頁：5上.丌.99,亓說文‧丌部,,是,bronze/glyphwiki,https://www.zdic.net/hans/亓/xiaozhuan,https://img.zdic.net/zy/xiaozhuan/27_4E0C.svg
11,1,11,仂,1,1,0,正篆,卷.部首.頁：13下.力.291,仂說文‧力部,,是,bronze/glyphwiki,https://www.zdic.net/hans/仂/xiaozhuan,https://img.zdic.net/zy/xiaozhuan/27_529B.svg
12,1,12,仟,1,1,0,正篆,卷.部首.頁：3上.十.50,仟說文‧十部,,是,bronze/glyphwiki,https://www.zdic.net/hans/仟/xiaozhuan,https://img.zdic.net/zy/xiaozhuan/27_5343.svg
13,1,13,佑,1,1,0,正篆,卷.部首.頁：2上.口.32、3下.又.64,佑說文‧又部,,是,bronze/glyphwiki,https://www.zdic.net/hans/佑/xiaozhuan,https://img.zdic.net/zy/xiaozhuan/27_53F3.svg
14,1,14,佣,1,1,0,正篆,卷.部首.頁：8上.人.163,佣說文‧人部,,是,bronze/glyphwiki,https://www.zdic.net/hans/佣/xiaozhuan,https://img.zdic.net/zy/xiaozhuan/27_50AD.svg
15,1,15,侄,1,1,0,正篆,卷.部首.頁：12下.女.259,侄說文‧女部,,是,bronze/glyphwiki/oracle-bone,https://www.zdic.net/hans/侄/xiaozhuan,https://img.zdic.net/zy/xiaozhuan/27_59EA.svg
16,2,1,倴,1,1,0,正篆,卷.部首.頁：10下.夭.214,倴說文‧夭部,,是,glyphwiki,https://www.zdic.net/hans/倴/xiaozhuan,https://img.zdic.net/zy/xiaozhuan/27_5954.svg
17,2,2,偕,1,1,0,正篆,卷.部首.頁：8上.人.164,偕說文‧人部,,是,bronze/glyphwiki,https://www.zdic.net/hans/偕/xiaozhuan,https://img.zdic.net/zy/xiaozhuan/27_5055.svg
18,2,3,关,1,1,0,正篆,卷.部首.頁：12上.門.249,关說文‧門部,,是,bronze/glyphwiki,https://www.zdic.net/hans/关/xiaozhuan,https://img.zdic.net/zy/xiaozhuan/27_95DC.svg
