序号,汉字,原表来源分组,风险等级,原表风险,汉典通道,汉典页,字形数,著录出处,全部著录,SVG_URL,本地文件
1,憙,蓝块占位,none,原表无字形,hans（/憙/jiaguwen）,https://www.zdic.net/hans/憙/jiaguwen,21,憙甲178 合15671,憙甲178 合15671 | 憙甲930 合25257 | 憙甲1076 | 憙甲1652 | 憙乙1671 合21207 𠂤歷間 | 憙鐵48.4 合22999 | 憙鐵182.3 合24146 出組 | 憙前1.1.3 合22708 | 憙前4.18.1 合36482 黃組 | 憙前4.43.2 合23691 出組 | 憙前5.18.2 | 憙後2.21.4 合25366 | 憙戩45.7 合23607 | 憙河114 合24886 | 憙河156 合26398 | 憙河348 合23368 | 憙粹1211 合24336 出組 | 憙粹1486 合17518 | 憙粹1487 合17519 | 憙河364 合24964 | 憙乙4597反 合9259反 賓組,https://img.zdic.net/zy/jiaguwen/42_E4B8.svg;https://img.zdic.net/zy/jiaguwen/42_E4B9.svg;https://img.zdic.net/zy/jiaguwen/42_E4BA.svg;https://img.zdic.net/zy/jiaguwen/42_E4BB.svg;https://img.zdic.net/zy/jiaguwen/42_E4BC.svg;https://img.zdic.net/zy/jiaguwen/42_E4BD.svg;https://img.zdic.net/zy/jiaguwen/42_E4BE.svg;https://img.zdic.net/zy/jiaguwen/42_E4BF.svg;https://img.zdic.net/zy/jiaguwen/42_E4C0.svg;https://img.zdic.net/zy/jiaguwen/42_E4C1.svg;https://img.zdic.net/zy/jiaguwen/42_E4C2.svg;https://img.zdic.net/zy/jiaguwen/42_E4C3.svg;https://img.zdic.net/zy/jiaguwen/42_E4C4.svg;https://img.zdic.net/zy/jiaguwen/42_E4C5.svg;https://img.zdic.net/zy/jiaguwen/42_E4C6.svg;https://img.zdic.net/zy/jiaguwen/42_E4C7.svg;https://img.zdic.net/zy/jiaguwen/42_E4C8.svg;https://img.zdic.net/zy/jiaguwen/42_E4C9.svg;https://img.zdic.net/zy/jiaguwen/42_E4CA.svg;https://img.zdic.net/zy/jiaguwen/42_E4CB.svg;https://img.zdic.net/zy/jiaguwen/42_E4CC.svg,glyphs/0001_憙_0.png;glyphs/0001_憙_1.png;glyphs/0001_憙_2.png;glyphs/0001_憙_3.png;glyphs/0001_憙_4.png;glyphs/0001_憙_5.png;glyphs/0001_憙_6.png;glyphs/0001_憙_7.png;glyphs/0001_憙_8.png;glyphs/0001_憙_9.png;glyphs/0001_憙_10.png;glyphs/0001_憙_11.png;glyphs/0001_憙_12.png;glyphs/0001_憙_13.png;glyphs/0001_憙_14.png;glyphs/0001_憙_15.png;glyphs/0001_憙_16.png;glyphs/0001_憙_17.png;glyphs/0001_憙_18.png;glyphs/0001_憙_19.png;glyphs/0001_憙_20.png
2,杕,深色,ok,—,hans（/杕/jiaguwen）,https://www.zdic.net/hans/杕/jiaguwen,1,杕摭續120 合32960 歷組,杕摭續120 合32960 歷組,https://img.zdic.net/zy/jiaguwen/45_E986.svg,glyphs/0002_杕_0.png
3,楯,蓝块占位,none,原表无字形,hans（/楯/jiaguwen）,https://www.zdic.net/hans/楯/jiaguwen,29,楯甲3113,楯甲3113 | 楯乙5248 合772 | 楯乙6305 合7427 賓組 | 楯鐵1.3 合6971 | 楯鐵25.1 合2238 子組 | 楯後2.5.2 合38704 | 楯林2.3.16 合3354 | 楯林2.24.6 合16347 賓組 | 楯林2.26.4 合21659 子組 | 楯粹1288 合6974 𠂤賓間 | 楯粹1289 合6975 𠂤賓間 | 楯京津1304 合9082 賓組 | 楯京津1305 合6973 𠂤賓間 | 楯京津1307 合7992 | 楯京津1308 合6975 𠂤賓間 | 楯京津1309 合7994 | 楯京津3077 合20135 | 楯掇1.271 合6972 𠂤賓間 | 楯庫365 合39823 | 楯庫457 | 楯乙333 | 楯明藏253 | 楯後2.37.2 合6665 賓組 | 楯燕606 合6754 𠂤賓間 | 楯燕637 合6976 𠂤賓間 | 楯燕758 合6976 𠂤賓間 | 楯庫563 合39775 | 楯庫981 合20584 𠂤歷間 | 楯庫993,https://img.zdic.net/zy/jiaguwen/42_EFA8.svg;https://img.zdic.net/zy/jiaguwen/42_EFA9.svg;https://img.zdic.net/zy/jiaguwen/42_EFAA.svg;https://img.zdic.net/zy/jiaguwen/42_EFAB.svg;https://img.zdic.net/zy/jiaguwen/42_EFAC.svg;https://img.zdic.net/zy/jiaguwen/42_EFAD.svg;https://img.zdic.net/zy/jiaguwen/42_EFAE.svg;https://img.zdic.net/zy/jiaguwen/42_EFAF.svg;https://img.zdic.net/zy/jiaguwen/42_EFB0.svg;https://img.zdic.net/zy/jiaguwen/42_EFB1.svg;https://img.zdic.net/zy/jiaguwen/42_EFB2.svg;https://img.zdic.net/zy/jiaguwen/42_EFB3.svg;https://img.zdic.net/zy/jiaguwen/42_EFB4.svg;https://img.zdic.net/zy/jiaguwen/42_EFB5.svg;https://img.zdic.net/zy/jiaguwen/42_EFB6.svg;https://img.zdic.net/zy/jiaguwen/42_EFB7.svg;https://img.zdic.net/zy/jiaguwen/42_EFB8.svg;https://img.zdic.net/zy/jiaguwen/42_EFB9.svg;https://img.zdic.net/zy/jiaguwen/42_EFBA.svg;https://img.zdic.net/zy/jiaguwen/42_EFBB.svg;https://img.zdic.net/zy/jiaguwen/42_EFBC.svg;https://img.zdic.net/zy/jiaguwen/42_EFBD.svg;https://img.zdic.net/zy/jiaguwen/42_EFBE.svg;https://img.zdic.net/zy/jiaguwen/42_EFBF.svg;https://img.zdic.net/zy/jiaguwen/42_EFC0.svg;https://img.zdic.net/zy/jiaguwen/42_EFC1.svg;https://img.zdic.net/zy/jiaguwen/42_EFC2.svg;https://img.zdic.net/zy/jiaguwen/42_EFC3.svg;https://img.zdic.net/zy/jiaguwen/42_EFC4.svg,glyphs/0003_楯_0.png;glyphs/0003_楯_1.png;glyphs/0003_楯_2.png;glyphs/0003_楯_3.png;glyphs/0003_楯_4.png;glyphs/0003_楯_5.png;glyphs/0003_楯_6.png;glyphs/0003_楯_7.png;glyphs/0003_楯_8.png;glyphs/0003_楯_9.png;glyphs/0003_楯_10.png;glyphs/0003_楯_11.png;glyphs/0003_楯_12.png;glyphs/0003_楯_13.png;glyphs/0003_楯_14.png;glyphs/0003_楯_15.png;glyphs/0003_楯_16.png;glyphs/0003_楯_17.png;glyphs/0003_楯_18.png;glyphs/0003_楯_19.png;glyphs/0003_楯_20.png;glyphs/0003_楯_21.png;glyphs/0003_楯_22.png;glyphs/0003_楯_23.png;glyphs/0003_楯_24.png;glyphs/0003_楯_25.png;glyphs/0003_楯_26.png;glyphs/0003_楯_27.png;glyphs/0003_楯_28.png
4,犇,蓝块占位,none,原表无字形,hans（/犇/jiaguwen）,https://www.zdic.net/hans/犇/jiaguwen,7,犇乙25 合19875 𠂤組,犇乙25 合19875 𠂤組 | 犇掇2.130 合26993 無名組 | 犇佚96 合34677 | 犇佚543 合302 賓組 | 犇拾12.17 合13764 𠂤賓間 | 犇後1.28.3 合301 賓組 | 犇後2.20.16 合20190 𠂤組,https://img.zdic.net/zy/jiaguwen/42_EE37.svg;https://img.zdic.net/zy/jiaguwen/42_EE38.svg;https://img.zdic.net/zy/jiaguwen/42_EE39.svg;https://img.zdic.net/zy/jiaguwen/42_EE3A.svg;https://img.zdic.net/zy/jiaguwen/42_EE3B.svg;https://img.zdic.net/zy/jiaguwen/42_EE3C.svg;https://img.zdic.net/zy/jiaguwen/42_EE3D.svg,glyphs/0004_犇_0.png;glyphs/0004_犇_1.png;glyphs/0004_犇_2.png;glyphs/0004_犇_3.png;glyphs/0004_犇_4.png;glyphs/0004_犇_5.png;glyphs/0004_犇_6.png
5,珷,蓝块占位,none,原表无字形,hans（/珷/jiaguwen）,https://www.zdic.net/hans/珷/jiaguwen,25,珷甲3339 合10229 賓組,珷甲3339 合10229 賓組 | 珷甲3946 | 珷乙2998 | 珷鐵67.4 合26770 出組 | 珷前1.10.3 合36080 | 珷前1.17.3 合35832 | 珷前1.21.1 合36013 | 珷前3.23.1 合36158 | 珷後1.4.15 合36109 | 珷後1.20.6 合35816 | 珷林1.10.14 合36055 | 珷佚427 | 珷佚816 合21357 | 珷佚984 合36089 | 珷燕252 合36093 黃組 | 珷燕289 合36111 | 珷坊間4.447 | 珷掇2.218 合35828 黃組 | 珷鄴初下.40.7 合35965 黃組 | 珷鄴3下.50.14 合36119 | 珷粹356 合36105 | 珷粹359 合36035 | 珷粹360A 合36107 | 珷乙4333 合22075 午組 | 珷金740 合41741 黃組,https://img.zdic.net/zy/jiaguwen/43_EF52.svg;https://img.zdic.net/zy/jiaguwen/43_EF53.svg;https://img.zdic.net/zy/jiaguwen/43_EF54.svg;https://img.zdic.net/zy/jiaguwen/43_EF55.svg;https://img.zdic.net/zy/jiaguwen/43_EF56.svg;https://img.zdic.net/zy/jiaguwen/43_EF57.svg;https://img.zdic.net/zy/jiaguwen/43_EF58.svg;https://img.zdic.net/zy/jiaguwen/43_EF59.svg;https://img.zdic.net/zy/jiaguwen/43_EF5A.svg;https://img.zdic.net/zy/jiaguwen/43_EF5B.svg;https://img.zdic.net/zy/jiaguwen/43_EF5C.svg;https://img.zdic.net/zy/jiaguwen/43_EF5D.svg;https://img.zdic.net/zy/jiaguwen/43_EF5E.svg;https://img.zdic.net/zy/jiaguwen/43_EF5F.svg;https://img.zdic.net/zy/jiaguwen/43_EF60.svg;https://img.zdic.net/zy/jiaguwen/43_EF61.svg;https://img.zdic.net/zy/jiaguwen/43_EF62.svg;https://img.zdic.net/zy/jiaguwen/43_EF63.svg;https://img.zdic.net/zy/jiaguwen/43_EF64.svg;https://img.zdic.net/zy/jiaguwen/43_EF65.svg;https://img.zdic.net/zy/jiaguwen/43_EF66.svg;https://img.zdic.net/zy/jiaguwen/43_EF67.svg;https://img.zdic.net/zy/jiaguwen/43_EF68.svg;https://img.zdic.net/zy/jiaguwen/43_EF69.svg;https://img.zdic.net/zy/jiaguwen/43_EF6A.svg,glyphs/0005_珷_0.png;glyphs/0005_珷_1.png;glyphs/0005_珷_2.png;glyphs/0005_珷_3.png;glyphs/0005_珷_4.png;glyphs/0005_珷_5.png;glyphs/0005_珷_6.png;glyphs/0005_珷_7.png;glyphs/0005_珷_8.png;glyphs/0005_珷_9.png;glyphs/0005_珷_10.png;glyphs/0005_珷_11.png;glyphs/0005_珷_12.png;glyphs/0005_珷_13.png;glyphs/0005_珷_14.png;glyphs/0005_珷_15.png;glyphs/0005_珷_16.png;glyphs/0005_珷_17.png;glyphs/0005_珷_18.png;glyphs/0005_珷_19.png;glyphs/0005_珷_20.png;glyphs/0005_珷_21.png;glyphs/0005_珷_22.png;glyphs/0005_珷_23.png;glyphs/0005_珷_24.png
6,逴,深色,ok,—,hans（/逴/jiaguwen）,https://www.zdic.net/hans/逴/jiaguwen,1,逴粹1160 合26992 無名組,逴粹1160 合26992 無名組,https://img.zdic.net/zy/jiaguwen/41_E927.svg,glyphs/0006_逴_0.png
7,临,深色,ok,—,hans（/临/jiaguwen）,https://www.zdic.net/hans/临/jiaguwen,1,临合36418 合36418 黃組,临合36418 合36418 黃組,https://img.zdic.net/zy/jiaguwen/44_E2B4.svg,glyphs/0007_临_0.png
8,为,深色,ok,—,hans（/为/jiaguwen）,https://www.zdic.net/hans/为/jiaguwen,25,为乙1049 合21729 子組,为乙1049 合21729 子組 | 为乙2307 合2953 賓組 | 为乙2524 合13490 賓組 | 为乙7589 合1855 | 为前5.30.4 合15182 | 为前5.30.4 合15182 | 为後2.10.11 合15186 賓組 | 为後2.10.11 合15186 賓組 | 为後2.10.12 合15188 賓組 | 为後2.10.13 合15184 | 为京津2261 合18152 | 为京津2262 合18150 | 为明藏145 | 为明藏145 | 为明藏145 | 为明藏145 | 为金591 合40483 | 为庫1687 合40482 | 为燕199 合18151 | 为乙3417 合13490 賓組 | 为乙3664 合1288 | 为存742 合5410 賓組 | 为乙3018 合13623 賓組 | 为乙6898 合13490 賓組 | 为七8039,https://img.zdic.net/zy/jiaguwen/41_EDFA.svg;https://img.zdic.net/zy/jiaguwen/41_EDFB.svg;https://img.zdic.net/zy/jiaguwen/41_EDFC.svg;https://img.zdic.net/zy/jiaguwen/41_EDFD.svg;https://img.zdic.net/zy/jiaguwen/41_EDFE.svg;https://img.zdic.net/zy/jiaguwen/41_EDFF.svg;https://img.zdic.net/zy/jiaguwen/41_EE00.svg;https://img.zdic.net/zy/jiaguwen/41_EE01.svg;https://img.zdic.net/zy/jiaguwen/41_EE02.svg;https://img.zdic.net/zy/jiaguwen/41_EE03.svg;https://img.zdic.net/zy/jiaguwen/41_EE04.svg;https://img.zdic.net/zy/jiaguwen/41_EE05.svg;https://img.zdic.net/zy/jiaguwen/41_EE06.svg;https://img.zdic.net/zy/jiaguwen/41_EE07.svg;https://img.zdic.net/zy/jiaguwen/41_EE08.svg;https://img.zdic.net/zy/jiaguwen/41_EE09.svg;https://img.zdic.net/zy/jiaguwen/41_EE0A.svg;https://img.zdic.net/zy/jiaguwen/41_EE0B.svg;https://img.zdic.net/zy/jiaguwen/41_EE0C.svg;https://img.zdic.net/zy/jiaguwen/41_EE0D.svg;https://img.zdic.net/zy/jiaguwen/41_EE0E.svg;https://img.zdic.net/zy/jiaguwen/41_EE0F.svg;https://img.zdic.net/zy/jiaguwen/41_EE10.svg;https://img.zdic.net/zy/jiaguwen/41_EE11.svg;https://img.zdic.net/zy/jiaguwen/41_EE12.svg,glyphs/0008_为_0.png;glyphs/0008_为_1.png;glyphs/0008_为_2.png;glyphs/0008_为_3.png;glyphs/0008_为_4.png;glyphs/0008_为_5.png;glyphs/0008_为_6.png;glyphs/0008_为_7.png;glyphs/0008_为_8.png;glyphs/0008_为_9.png;glyphs/0008_为_10.png;glyphs/0008_为_11.png;glyphs/0008_为_12.png;glyphs/0008_为_13.png;glyphs/0008_为_14.png;glyphs/0008_为_15.png;glyphs/0008_为_16.png;glyphs/0008_为_17.png;glyphs/0008_为_18.png;glyphs/0008_为_19.png;glyphs/0008_为_20.png;glyphs/0008_为_21.png;glyphs/0008_为_22.png;glyphs/0008_为_23.png;glyphs/0008_为_24.png
9,乞,深色,ok,—,hans（/乞/jiaguwen）,https://www.zdic.net/hans/乞/jiaguwen,23,乞前7.36.2 合12532 賓組,乞前7.36.2 合12532 賓組 | 乞後2.16.2 合16243 賓組 | 乞戩12.9 合6154 賓組 | 乞粹524 合16242 賓組 | 乞粹771 合33897 歷組 | 乞前2.28.2 合10925 | 乞前7.9.3 合7148 賓組 | 乞菁1.1 合6057 賓組 | 乞菁1.1 合6057 賓組 | 乞菁2.1 合6057 賓組 | 乞前7.31.3 合1075 賓組 | 乞甲870 合35260 | 乞甲2103反 合9419反 賓組 | 乞甲2833 合9461 | 乞明藏12 | 乞燕403 合9430 賓組 | 乞燕197 合11002 賓組 | 乞佚60 合6060 賓組 | 乞佚894 合22913 出組 | 乞通別2.3A | 乞陳133 合9421 | 乞存1483 合22657 出組 | 乞京都949 合4857,https://img.zdic.net/zy/jiaguwen/41_E23A.svg;https://img.zdic.net/zy/jiaguwen/41_E23B.svg;https://img.zdic.net/zy/jiaguwen/41_E23C.svg;https://img.zdic.net/zy/jiaguwen/41_E23D.svg;https://img.zdic.net/zy/jiaguwen/41_E23E.svg;https://img.zdic.net/zy/jiaguwen/41_E23F.svg;https://img.zdic.net/zy/jiaguwen/41_E240.svg;https://img.zdic.net/zy/jiaguwen/41_E241.svg;https://img.zdic.net/zy/jiaguwen/41_E242.svg;https://img.zdic.net/zy/jiaguwen/41_E243.svg;https://img.zdic.net/zy/jiaguwen/41_E244.svg;https://img.zdic.net/zy/jiaguwen/41_E245.svg;https://img.zdic.net/zy/jiaguwen/41_E246.svg;https://img.zdic.net/zy/jiaguwen/41_E247.svg;https://img.zdic.net/zy/jiaguwen/41_E248.svg;https://img.zdic.net/zy/jiaguwen/41_E249.svg;https://img.zdic.net/zy/jiaguwen/41_E24A.svg;https://img.zdic.net/zy/jiaguwen/41_E24B.svg;https://img.zdic.net/zy/jiaguwen/41_E24C.svg;https://img.zdic.net/zy/jiaguwen/41_E24D.svg;https://img.zdic.net/zy/jiaguwen/41_E24E.svg;https://img.zdic.net/zy/jiaguwen/41_E24F.svg;https://img.zdic.net/zy/jiaguwen/41_E250.svg,glyphs/0009_乞_0.png;glyphs/0009_乞_1.png;glyphs/0009_乞_2.png;glyphs/0009_乞_3.png;glyphs/0009_乞_4.png;glyphs/0009_乞_5.png;glyphs/0009_乞_6.png;glyphs/0009_乞_7.png;glyphs/0009_乞_8.png;glyphs/0009_乞_9.png;glyphs/0009_乞_10.png;glyphs/0009_乞_11.png;glyphs/0009_乞_12.png;glyphs/0009_乞_13.png;glyphs/0009_乞_14.png;glyphs/0009_乞_15.png;glyphs/0009_乞_16.png;glyphs/0009_乞_17.png;glyphs/0009_乞_18.png;glyphs/0009_乞_19.png;glyphs/0009_乞_20.png;glyphs/0009_乞_21.png;glyphs/0009_乞_22.png
10,亓,淡蓝 #7396FF,L2,淡蓝同批·待核,hans（/亓/jiaguwen）,https://www.zdic.net/hans/亓/jiaguwen,43,亓甲662 合33811,亓甲662 合33811 | 亓甲663 合27000 無名組 | 亓甲751 合33757 | 亓甲862 合33771 | 亓甲2007 合28664 | 亓甲2366 | 亓乙3400 合1285 賓組 | 亓乙7285 合14542 | 亓乙7672 合9810 賓組 | 亓乙8685反 合21031反 𠂤組 | 亓鐵34.3 合16310 | 亓鐵46.4 | 亓鐵117.2 合19390 | 亓鐵218.2 合15758 賓組 | 亓餘15.4 合18771 賓組 | 亓前1.12.7 合35975 | 亓前1.18.1 合36115 黃組 | 亓前1.18.1 合36115 黃組 | 亓前1.18.1 合36115 黃組 | 亓前2.30.6 合38186 黃組 | 亓前2.30.6 合38186 黃組 | 亓前2.30.6 合38186 黃組 | 亓前3.1.1 合3418 𠂤賓間 | 亓前4.38.3 合36164 | 亓前5.6.1 合35347 黃組 | 亓前6.20.2 合12852 | 亓後1.11.4 合29401 無名組 | 亓後1.14.3 合24460 出組 | 亓後1.15.2 合24452 | 亓後1.15.2 合24452 | 亓後1.23.4 合32161 歷組 | 亓後1.26.15 合34149 歷組 | 亓後1.33.2 | 亓後2.19.11 合39453 黃組 | 亓後2.21.2 合32933 歷組 | 亓後2.36.5 合33075 𠂤歷間 | 亓佚116 合6316 | 亓佚230 合33845 | 亓佚13 合6196 | 亓福8 合37386 黃組 | 亓京津3000 合10980 | 亓前6.34.7 合6063 賓組 | 亓京都934A,https://img.zdic.net/zy/jiaguwen/42_E2C7.svg;https://img.zdic.net/zy/jiaguwen/42_E2C8.svg;https://img.zdic.net/zy/jiaguwen/42_E2C9.svg;https://img.zdic.net/zy/jiaguwen/42_E2CA.svg;https://img.zdic.net/zy/jiaguwen/42_E2CB.svg;https://img.zdic.net/zy/jiaguwen/42_E2CC.svg;https://img.zdic.net/zy/jiaguwen/42_E2CD.svg;https://img.zdic.net/zy/jiaguwen/42_E2CE.svg;https://img.zdic.net/zy/jiaguwen/42_E2CF.svg;https://img.zdic.net/zy/jiaguwen/42_E2D0.svg;https://img.zdic.net/zy/jiaguwen/42_E2D1.svg;https://img.zdic.net/zy/jiaguwen/42_E2D2.svg;https://img.zdic.net/zy/jiaguwen/42_E2D3.svg;https://img.zdic.net/zy/jiaguwen/42_E2D4.svg;https://img.zdic.net/zy/jiaguwen/42_E2D5.svg;https://img.zdic.net/zy/jiaguwen/42_E2D6.svg;https://img.zdic.net/zy/jiaguwen/42_E2D7.svg;https://img.zdic.net/zy/jiaguwen/42_E2D8.svg;https://img.zdic.net/zy/jiaguwen/42_E2D9.svg;https://img.zdic.net/zy/jiaguwen/42_E2DA.svg;https://img.zdic.net/zy/jiaguwen/42_E2DB.svg;https://img.zdic.net/zy/jiaguwen/42_E2DC.svg;https://img.zdic.net/zy/jiaguwen/42_E2DD.svg;https://img.zdic.net/zy/jiaguwen/42_E2DE.svg;https://img.zdic.net/zy/jiaguwen/42_E2DF.svg;https://img.zdic.net/zy/jiaguwen/42_E2E0.svg;https://img.zdic.net/zy/jiaguwen/42_E2E1.svg;https://img.zdic.net/zy/jiaguwen/42_E2E2.svg;https://img.zdic.net/zy/jiaguwen/42_E2E3.svg;https://img.zdic.net/zy/jiaguwen/42_E2E4.svg;https://img.zdic.net/zy/jiaguwen/42_E2E5.svg;https://img.zdic.net/zy/jiaguwen/42_E2E6.svg;https://img.zdic.net/zy/jiaguwen/42_E2E7.svg;https://img.zdic.net/zy/jiaguwen/42_E2E8.svg;https://img.zdic.net/zy/jiaguwen/42_E2E9.svg;https://img.zdic.net/zy/jiaguwen/42_E2EA.svg;https://img.zdic.net/zy/jiaguwen/42_E2EB.svg;https://img.zdic.net/zy/jiaguwen/42_E2EC.svg;https://img.zdic.net/zy/jiaguwen/42_E2ED.svg;https://img.zdic.net/zy/jiaguwen/42_E2EE.svg;https://img.zdic.net/zy/jiaguwen/42_E2EF.svg;https://img.zdic.net/zy/jiaguwen/42_E2F1.svg;https://img.zdic.net/zy/jiaguwen/42_E2F2.svg,glyphs/0010_亓_0.png;glyphs/0010_亓_1.png;glyphs/0010_亓_2.png;glyphs/0010_亓_3.png;glyphs/0010_亓_4.png;glyphs/0010_亓_5.png;glyphs/0010_亓_6.png;glyphs/0010_亓_7.png;glyphs/0010_亓_8.png;glyphs/0010_亓_9.png;glyphs/0010_亓_10.png;glyphs/0010_亓_11.png;glyphs/0010_亓_12.png;glyphs/0010_亓_13.png;glyphs/0010_亓_14.png;glyphs/0010_亓_15.png;glyphs/0010_亓_16.png;glyphs/0010_亓_17.png;glyphs/0010_亓_18.png;glyphs/0010_亓_19.png;glyphs/0010_亓_20.png;glyphs/0010_亓_21.png;glyphs/0010_亓_22.png;glyphs/0010_亓_23.png;glyphs/0010_亓_24.png;glyphs/0010_亓_25.png;glyphs/0010_亓_26.png;glyphs/0010_亓_27.png;glyphs/0010_亓_28.png;glyphs/0010_亓_29.png;glyphs/0010_亓_30.png;glyphs/0010_亓_31.png;glyphs/0010_亓_32.png;glyphs/0010_亓_33.png;glyphs/0010_亓_34.png;glyphs/0010_亓_35.png;glyphs/0010_亓_36.png;glyphs/0010_亓_37.png;glyphs/0010_亓_38.png;glyphs/0010_亓_39.png;glyphs/0010_亓_40.png;glyphs/0010_亓_41.png;glyphs/0010_亓_42.png
