序号,简体字,繁体字,拼音,六书类别,部首,笔画数,本义(原始),复核结论(人工填写)
1,匕,匕,bǐ,会意,匕,2,相與比敘也,
2,刁,刁,diāo,会意,刀,2,古者軍有刁斗（出《康熙字典》）,
3,几,幾,jī/jǐ,会意,几,2,微也。殆也,
4,乃,乃,nǎi,会意,丿,2,曳詞之難也。象气之出難,
5,乂,乂,yì,会意,丿,2,芟艸也,
6,彳,彳,chì,会意,彳,3,小步也。象人脛三屬相連也,
7,亍,亍,chù,会意,二,3,步止也,
8,凡,凡,fán,会意,几,3,最括也,
9,干,幹,gān/gàn,会意,干,3,犯也,
10,久,久,jiǔ,会意,丿,3,以後灸之，象人兩脛後有距也。《周禮》曰：“久諸牆以觀其橈。”,
11,及,及,jí,会意,又,3,逮也,
12,巾,巾,jīn,会意,巾,3,佩巾也,
13,乞,乞,qǐ,会意,乙,3,求取、乞求,
14,丸,丸,wán,会意,丶,3,圜，傾側而轉者,
15,亡,亾,wáng,会意,亠,3,逃也,
16,卫,衛,wèi,会意,卩,3,守卫、保护,
17,兀,兀,wù,会意,儿,3,高而上平也,
18,乡,鄉,xiāng,会意,幺,3,乡村、家乡,
19,习,習,xí,会意,乙,3,數飛也,
20,弋,弋,yì,会意,弋,3,橜也。象折木衺銳著形,
21,义,義,yí,会意,丶,3,己之威儀也。從我、羊,
22,亏,虧,yú,会意,二,3,於也。象气之舒亏,
23,与,與,yǔ/yù,会意,一,3,黨與也,
24,丈,丈,zhàng,会意,一,3,十尺也,
25,比,比,bǐ,会意,比,4,密也,
26,尺,尺,chǐ,会意,尸,4,十寸也。人手卻十分動脈爲寸口。十寸爲尺。尺，所以指尺䂓榘事也,
27,从,從,cóng,会意,人,4,两人相随,
28,分,分,fēn,会意,刀,4,以刀分割,
29,反,反,fǎn,会意,又,4,手攀崖（攀的本字），引申为翻转,
30,夬,夬,guài,会意,大,4,分決也,
31,丐,匃,gài,会意,一,4,气也。逯安說：亡人爲匄,
32,公,公,gōng,会意,八,4,背私为公,
33,幻,幻,huàn,会意,幺,4,相詐惑也,
